name,value,wetland_type,sum_area_nwi_km2
id,CA_Los Angeles_B8_B_393,Riverine,0.00146482480359874
id,CA_Los Angeles_B9_B_404,Riverine,0.01398712432032558
id,CA_Los Angeles_C100_C_417,Riverine,0.04057416677809071
id,CA_Los Angeles_C107_C_424,Riverine,0.02253416189835616
id,CA_Los Angeles_C108_C_425,Freshwater Emergent Wetland,0.00123886008584318
id,CA_Los Angeles_C116_C_435,Riverine,0.02726867121768742
id,CA_Los Angeles_C11_C_427,Riverine,0.0046147835809676
id,CA_Los Angeles_C11_C_428,Riverine,0.00316491795862157
id,CA_Los Angeles_C127_C_447,Riverine,0.03792739139658596
id,CA_Los Angeles_C128_C_448,Riverine,0.01583522680064861
id,CA_Los Angeles_C13_C_450,Riverine,0.0068301541207447
id,CA_Los Angeles_C140_C_463,Riverine,0.02825171732761741
id,CA_Los Angeles_C142_C_465,Riverine,2.3760710360435768e-4
id,CA_Los Angeles_C148_C_473,Riverine,0.00228149066223704
id,CA_Los Angeles_C149_C_474,Freshwater Emergent Wetland,1.3615647891016125e-4
id,CA_Los Angeles_C149_C_475,Riverine,0.00163348598475847
id,CA_Los Angeles_C14_C_462,Freshwater Forested/Shrub Wetland,0.00146517583405936
id,CA_Los Angeles_C14_C_462,Freshwater Pond,0.00549451071295968
id,CA_Los Angeles_C14_C_462,Riverine,0.03018185388867747
id,CA_Los Angeles_C150_C_478,Riverine,0.00303122926206421
id,CA_Los Angeles_C158_C_486,Riverine,0.01986784544453024
id,CA_Los Angeles_C159_C_487,Riverine,0.11648858481208188
id,CA_Los Angeles_C15_C_477,Riverine,0.01109177567286789
id,CA_Los Angeles_C160_C_489,Estuarine and Marine Wetland,0.00544561416825652
id,CA_Los Angeles_C164_C_493,Riverine,0.00242785042821121
id,CA_Los Angeles_C167_C_496,Riverine,0.00345951369773168
id,CA_Los Angeles_C16_C_488,Riverine,0.04983109676485302
id,CA_Los Angeles_C19_C_500,Freshwater Pond,2.805810604186263e-7
id,CA_Los Angeles_C2_C_501,Riverine,0.00616507254516839
id,CA_Los Angeles_C32_C_515,Riverine,0.00285602310880646
id,CA_Los Angeles_C35_C_518,Riverine,0.00570124867916992
id,CA_Los Angeles_C38_C_521,Riverine,1.3376262959442102e-5
